Сесія,Тиждень,День,Тип,№,Блок,Вправа,Схема,Діапазон,Вага,Примітка
S1,1,Вівторок,Кросфіт,1,Розминка,Кардіо (вело/гребля/біг),10 хв,,,Скорочено до 10 хв — звільняє час під вибухову
S1,1,Вівторок,Кросфіт,2,Вибухова,Ривок,4 x 3,вибух,,"Повний відпочинок; стоп по падінню швидкості штанги (P3)"
S1,1,Вівторок,Кросфіт,3,Комплекс,"Комплекс: трастери / бьорпі / перекидання м'яча",21-15-9 на час,,,"Гліколітичний домен ~10-20 хв; фіксувати спліти + ЧСС по раундах"
S1,1,Вівторок,Кросфіт,4,Допоміжна,Підйом на середню дельту,6 x 5 сходинок,,,
S1,1,Вівторок,Кросфіт,5,Допоміжна,Вис,4 x макс,секунди,,Хват
S1,1,Вівторок,Кросфіт,6,Заминка,Заминка,,,,
S2,1,Четвер,Важкий,1,Розминка,Кардіо,10-15 хв,,,
S2,1,Четвер,Важкий,2,Розминка,Гіперекстензія,12 x 2,,,
S2,1,Четвер,Важкий,3,ГОЛОВНА,Присід на плечах,рамп до топ-трійки + 1-2 бек-оф,трійки,,"Найважча сесія циклу; далі 3-денний проміжок"
S2,1,Четвер,Важкий,4,Допоміжна,Підтягування з вагою,6 x 4 сходинки,,,Вертикальна тяга
S2,1,Четвер,Важкий,5,Допоміжна,Згинання ніг стоячи,6 x 5 сходинок,,,
S2,1,Четвер,Важкий,6,Допоміжна,Прокручування кисті з гантелею,8 x 4 сходинки,,,Хват
S2,1,Четвер,Важкий,7,Заминка,Заминка,,,,
S3,1,Неділя,Кросфіт,1,Розминка,Кардіо,10 хв,,,
S3,1,Неділя,Кросфіт,2,Вибухова,Взяття на груди,5 x 2,вибух,,Шарнірний патерн
S3,1,Неділя,Кросфіт,3,Комплекс,"EMOM: підтягування / віджимання / складка",12-16 хв,,,"Короткий домен; змінити формат відносно S1 (P9)"
S3,1,Неділя,Кросфіт,4,Допоміжна,Підйом на задню дельту,6 x 4 сходинки,,,
S3,1,Неділя,Кросфіт,5,Допоміжна,Кисть з гантелею,6 x 4 сходинки,,,Хват
S3,1,Неділя,Кросфіт,6,Заминка,Заминка,,,,
S4,2,Вівторок,Важкий,1,Розминка,Кардіо,10-15 хв,,,
S4,2,Вівторок,Важкий,2,Розминка,Гіперекстензія,12 x 2,,,
S4,2,Вівторок,Важкий,3,ГОЛОВНА,Жим лежачи,рамп до топ-сету + 1-2 бек-оф,шістки,,
S4,2,Вівторок,Важкий,4,Допоміжна,Тяга блочна сидячи,6 x 5 сходинок,,,Горизонтальна тяга
S4,2,Вівторок,Важкий,5,Допоміжна,Підйом на середню дельту,6 x 5 сходинок,,,
S4,2,Вівторок,Важкий,6,Допоміжна,Вис,4 x макс,секунди,,Хват
S4,2,Вівторок,Важкий,7,Заминка,Заминка,,,,
S5,2,Четвер,Кросфіт,1,Розминка,Кардіо,10 хв,,,
S5,2,Четвер,Кросфіт,2,Вибухова,Протяжка ривкова,5 x 2,вибух,,"Є історичні дані: 90 кг (2+2)"
S5,2,Четвер,Кросфіт,3,Комплекс,"AMRAP 15 хв: гирі / скакалка / альпініст",AMRAP 15 хв,,,Аеробний домен
S5,2,Четвер,Кросфіт,4,Допоміжна,Підйоми на носки,6 x 5 сходинок,,,
S5,2,Четвер,Кросфіт,5,Допоміжна,Прокручування кисті з гантелею,8 x 4 сходинки,,,Хват
S5,2,Четвер,Кросфіт,6,Заминка,Заминка,,,,
S6,2,Неділя,Важкий,1,Розминка,Кардіо,10-15 хв,,,
S6,2,Неділя,Важкий,2,Розминка,Гіперекстензія,12 x 2,,,
S6,2,Неділя,Важкий,3,ГОЛОВНА,Присід фронтальний,рамп до топ-сету + 1-2 бек-оф,шістки,,"Історія: 70/80/90/100 x 6, 110 x 3"
S6,2,Неділя,Важкий,4,Допоміжна,Румунська тяга,6 x 5 сходинок,,,Шарнір під вагою
S6,2,Неділя,Важкий,5,Допоміжна,Підйоми на носки,6 x 5 сходинок,,,
S6,2,Неділя,Важкий,6,Допоміжна,Скручування,4 x 15-20,,,Кор
S6,2,Неділя,Важкий,7,Заминка,Заминка,,,,
S7,3,Вівторок,Кросфіт,1,Розминка,Кардіо,10 хв,,,
S7,3,Вівторок,Кросфіт,2,Вибухова,Поштовх гир / застрибування на тумбу,5 x 3,вибух,,
S7,3,Вівторок,Кросфіт,3,Комплекс,"Інтервали: 8 x 30 с робота / 90 с відпочинок",~15 хв,,,"Алактатний домен — найкоротший, зазвичай недобраний (P9)"
S7,3,Вівторок,Кросфіт,4,Допоміжна,Підйом на середню дельту,6 x 4 сходинки,,,
S7,3,Вівторок,Кросфіт,5,Допоміжна,Вис,4 x макс,секунди,,Хват
S7,3,Вівторок,Кросфіт,6,Заминка,Заминка,,,,
S8,3,Четвер,Важкий,1,Розминка,Кардіо,10-15 хв,,,
S8,3,Четвер,Важкий,2,Розминка,Гіперекстензія,12 x 2,,,
S8,3,Четвер,Важкий,3,ГОЛОВНА,Жим стоячи (або жим на нахилі),рамп + бек-оф,вісімки,,"Єдиний об'ємний слот циклу — правило P5; рішення стоячи/нахил ще не ухвалене"
S8,3,Четвер,Важкий,4,Допоміжна,Жим на нахилі,6 x 4 сходинки,,,Якщо головна — жим стоячи
S8,3,Четвер,Важкий,5,Допоміжна,Підтягування,6 x 4 сходинки,,,Вертикальна тяга
S8,3,Четвер,Важкий,6,Допоміжна,Кисть з гантелею,6 x 4 сходинки,,,Хват
S8,3,Четвер,Важкий,7,Заминка,Заминка,,,,
—,3,Неділя,ПРОПУСК,,,,,,,"Пропуск планово: 5-денний проміжок S8 (чт) -> S1 (вт) = вбудований міні-делоад (P10)"
